epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,557.798,0.81593,0.17647,0.19574,0.53584,1.15447,0.99849,1,0.995,0.90147,0.99849,1,0.995,0.995,0.47535,0.11387,0.03572,0.28735,0.80425,0.0012674,0.0012674,0.0012674
39,568.376,0.84505,0.14542,0.18662,0.54384,1.15935,0.99859,1,0.995,0.89191,0.99859,1,0.995,0.995,0.51907,0.06278,0.04857,0.26112,0.8138,0.0012476,0.0012476,0.0012476
40,579.134,0.83713,0.15943,0.17226,0.53262,1.15658,0.99862,1,0.995,0.87939,0.99862,1,0.995,0.995,0.57045,0.07007,0.04011,0.2887,0.81646,0.0012278,0.0012278,0.0012278
41,591.665,0.86173,0.15327,0.16182,0.54285,1.16111,0.99854,1,0.995,0.90591,0.99854,1,0.995,0.995,0.47053,0.08908,0.00584,0.27474,0.81167,0.001208,0.001208,0.001208
42,607.1,0.84631,0.13059,0.16263,0.54625,1.16121,0.99854,1,0.995,0.88721,0.99854,1,0.995,0.99113,0.52571,0.0622,0.01202,0.28771,0.8247,0.0011882,0.0011882,0.0011882
43,621.947,0.82355,0.13847,0.17621,0.51064,1.1456,0.99855,1,0.995,0.89254,0.99855,1,0.995,0.995,0.5283,0.04924,0.01127,0.29361,0.8146,0.0011684,0.0011684,0.0011684
44,632.84,0.82506,0.15405,0.15827,0.52392,1.14761,0.99685,1,0.995,0.90547,0.99685,1,0.995,0.995,0.44134,0.06142,0.01635,0.36704,0.79321,0.0011486,0.0011486,0.0011486
45,643.089,0.83428,0.16694,0.17943,0.5301,1.15543,0.99851,1,0.995,0.90766,0.99851,1,0.995,0.99325,0.47065,0.06052,0.02402,0.26697,0.79674,0.0011288,0.0011288,0.0011288
46,652.148,0.80846,0.1564,0.16672,0.51373,1.1444,0.99845,1,0.995,0.91598,0.99845,1,0.995,0.995,0.46237,0.06629,0.02803,0.26532,0.7946,0.001109,0.001109,0.001109
47,661.582,0.79933,0.15713,0.15976,0.50805,1.13034,0.99862,1,0.995,0.85692,0.99862,1,0.995,0.995,0.59221,0.0538,0.01387,0.27509,0.82879,0.0010892,0.0010892,0.0010892
48,670.722,0.84957,0.15708,0.16436,0.52526,1.1621,0.99856,1,0.995,0.86333,0.99856,1,0.995,0.995,0.59582,0.06356,0.01876,0.29322,0.84472,0.0010694,0.0010694,0.0010694
49,680.005,0.81459,0.14867,0.15545,0.53497,1.14432,0.99828,1,0.995,0.87015,0.99828,1,0.995,0.99295,0.534,0.06056,0.00944,0.28314,0.81359,0.0010496,0.0010496,0.0010496
50,689.062,0.81457,0.15696,0.14012,0.51553,1.15332,0.99843,1,0.995,0.91137,0.99843,1,0.995,0.995,0.44582,0.05859,0.01338,0.26578,0.79482,0.0010298,0.0010298,0.0010298
51,699.574,0.79537,0.13052,0.14442,0.50613,1.13616,0.99869,1,0.995,0.88361,0.99869,1,0.995,0.995,0.58546,0.04753,0.00751,0.27711,0.83093,0.00101,0.00101,0.00101
52,710.043,0.74991,0.14132,0.1436,0.47451,1.11299,0.99868,1,0.995,0.91097,0.99868,1,0.995,0.995,0.49684,0.05387,0.00843,0.27002,0.79722,0.0009902,0.0009902,0.0009902
53,720.341,0.77612,0.13375,0.14124,0.49643,1.13361,0.99855,1,0.995,0.92166,0.99855,1,0.995,0.995,0.45609,0.06059,0.00675,0.25095,0.78146,0.0009704,0.0009704,0.0009704
54,731.801,0.76674,0.13812,0.16697,0.50477,1.12941,0.99839,1,0.995,0.89663,0.99839,1,0.995,0.995,0.52012,0.05228,0.00415,0.28498,0.80092,0.0009506,0.0009506,0.0009506
55,741.577,0.78417,0.09949,0.13694,0.49763,1.12588,0.9986,1,0.995,0.90944,0.9986,1,0.995,0.995,0.4922,0.07899,0.00903,0.28474,0.79067,0.0009308,0.0009308,0.0009308
56,750.677,0.75938,0.13136,0.14517,0.49034,1.11665,0.99864,1,0.995,0.90426,0.99864,1,0.995,0.995,0.46443,0.04996,0.01399,0.26294,0.77793,0.000911,0.000911,0.000911
57,759.701,0.80699,0.10673,0.15011,0.51004,1.1339,0.99864,1,0.995,0.90835,0.99864,1,0.995,0.995,0.42031,0.04014,0.01609,0.25708,0.78512,0.0008912,0.0008912,0.0008912
58,768.734,0.78984,0.16273,0.16728,0.49327,1.13058,0.99869,1,0.995,0.91677,0.99869,1,0.995,0.995,0.4136,0.04493,0.00786,0.24219,0.77586,0.0008714,0.0008714,0.0008714
59,777.758,0.79482,0.10714,0.14017,0.50414,1.133,0.9987,1,0.995,0.93588,0.9987,1,0.995,0.995,0.40472,0.04995,0.01562,0.23564,0.75922,0.0008516,0.0008516,0.0008516
60,787.043,0.74556,0.12811,0.14911,0.47188,1.1121,0.99866,1,0.995,0.91016,0.99866,1,0.995,0.995,0.46966,0.04881,0.00611,0.23736,0.77258,0.0008318,0.0008318,0.0008318
61,795.978,0.76987,0.12641,0.14535,0.48639,1.12755,0.99873,1,0.995,0.89184,0.99873,1,0.995,0.995,0.48657,0.05036,0.00519,0.25487,0.79172,0.000812,0.000812,0.000812
62,805.139,0.7644,0.1107,0.13223,0.48618,1.13038,0.9987,1,0.995,0.92834,0.9987,1,0.995,0.995,0.42717,0.0519,0.01209,0.23705,0.76804,0.0007922,0.0007922,0.0007922
63,814.203,0.73922,0.12222,0.15104,0.48518,1.10842,0.99866,1,0.995,0.94697,0.99866,1,0.995,0.995,0.34495,0.05771,0.01062,0.22802,0.74524,0.0007724,0.0007724,0.0007724
64,823.277,0.77918,0.10813,0.13563,0.50322,1.12842,0.99868,1,0.995,0.83189,0.99868,1,0.995,0.995,0.6962,0.04095,0.01287,0.27643,0.86205,0.0007526,0.0007526,0.0007526
65,832.427,0.74408,0.1138,0.1248,0.47419,1.11564,0.99864,1,0.995,0.85569,0.99864,1,0.995,0.995,0.65372,0.03457,0.00607,0.26608,0.84014,0.0007328,0.0007328,0.0007328
66,842.681,0.76212,0.11591,0.13648,0.47682,1.12877,0.99842,1,0.995,0.93523,0.99842,1,0.995,0.995,0.38392,0.04033,0.00571,0.23041,0.74372,0.000713,0.000713,0.000713
67,852.588,0.74288,0.10002,0.12743,0.48242,1.1171,0.99726,1,0.995,0.94622,0.99726,1,0.995,0.995,0.35963,0.04045,0.00791,0.20588,0.73702,0.0006932,0.0006932,0.0006932
68,862.253,0.73884,0.09742,0.12105,0.47366,1.12348,0.99849,1,0.995,0.90795,0.99849,1,0.995,0.995,0.48167,0.04824,0.01775,0.213,0.79043,0.0006734,0.0006734,0.0006734
69,872.566,0.72582,0.11459,0.13546,0.46722,1.10731,0.9977,1,0.995,0.89799,0.9977,1,0.995,0.995,0.48576,0.04463,0.01766,0.24216,0.7959,0.0006536,0.0006536,0.0006536
70,882.979,0.73937,0.11912,0.1502,0.4694,1.11216,0.99871,1,0.995,0.9276,0.99871,1,0.995,0.995,0.43549,0.03846,0.0068,0.23286,0.75986,0.0006338,0.0006338,0.0006338
71,893.212,0.71466,0.10503,0.12889,0.45218,1.10283,0.99873,1,0.995,0.91003,0.99873,1,0.995,0.995,0.46428,0.03427,0.00627,0.23176,0.76813,0.000614,0.000614,0.000614
72,904.611,0.71771,0.11884,0.13918,0.46278,1.10266,0.99822,1,0.995,0.91304,0.99822,1,0.995,0.995,0.42049,0.03945,0.00844,0.22413,0.7723,0.0005942,0.0005942,0.0005942
73,914.721,0.69156,0.09018,0.12018,0.45151,1.09346,0.99871,1,0.995,0.92565,0.99871,1,0.995,0.995,0.42609,0.0343,0.00816,0.21849,0.76091,0.0005744,0.0005744,0.0005744
74,925.218,0.7099,0.09179,0.11982,0.44525,1.10125,0.99874,1,0.995,0.94843,0.99874,1,0.995,0.995,0.3418,0.05353,0.00757,0.20076,0.74347,0.0005546,0.0005546,0.0005546
75,935.318,0.68549,0.10144,0.13137,0.43883,1.08801,0.99874,1,0.995,0.93022,0.99874,1,0.995,0.995,0.44198,0.0397,0.0069,0.20273,0.76638,0.0005348,0.0005348,0.0005348
76,945.681,0.71613,0.09849,0.12345,0.44154,1.10963,1,1,0.995,0.91042,1,1,0.995,0.995,0.4471,0.04202,0.00908,0.22522,0.7663,0.000515,0.000515,0.000515
77,955.849,0.6873,0.10637,0.12597,0.44929,1.09096,1,1,0.995,0.95401,1,1,0.995,0.995,0.35899,0.05646,0.00412,0.22059,0.74231,0.0004952,0.0004952,0.0004952
78,966.109,0.71086,0.10773,0.12489,0.45012,1.11024,1,1,0.995,0.91842,1,1,0.995,0.995,0.42634,0.03412,0.00464,0.2189,0.75389,0.0004754,0.0004754,0.0004754
79,976.585,0.69011,0.0831,0.11653,0.4346,1.08964,0.99874,1,0.995,0.95223,0.99874,1,0.995,0.995,0.35546,0.04383,0.00589,0.2101,0.74224,0.0004556,0.0004556,0.0004556
80,986.998,0.69384,0.09872,0.11938,0.43513,1.09966,0.99871,1,0.995,0.9104,0.99871,1,0.995,0.995,0.46114,0.02889,0.00704,0.22731,0.76736,0.0004358,0.0004358,0.0004358
81,997.022,0.7041,0.10858,0.1331,0.44369,1.09719,0.99872,1,0.995,0.93778,0.99872,1,0.995,0.995,0.36103,0.03333,0.00415,0.21401,0.7382,0.000416,0.000416,0.000416
82,1007.93,0.68117,0.07645,0.10498,0.43934,1.08997,0.99873,1,0.995,0.92945,0.99873,1,0.995,0.995,0.37023,0.03363,0.00978,0.21591,0.74608,0.0003962,0.0003962,0.0003962
83,1017.09,0.66889,0.08698,0.12407,0.41967,1.08503,0.99875,1,0.995,0.94115,0.99875,1,0.995,0.995,0.38075,0.02901,0.00618,0.19902,0.75501,0.0003764,0.0003764,0.0003764
84,1026.39,0.65559,0.08009,0.11819,0.41158,1.07473,0.99874,1,0.995,0.93743,0.99874,1,0.995,0.995,0.39469,0.03149,0.00596,0.20075,0.75145,0.0003566,0.0003566,0.0003566
85,1035.56,0.67003,0.07299,0.10795,0.43079,1.07386,0.99875,1,0.995,0.95919,0.99875,1,0.995,0.995,0.31855,0.03594,0.00796,0.1898,0.73376,0.0003368,0.0003368,0.0003368
86,1045.05,0.70658,0.08471,0.11411,0.43547,1.09611,0.99876,1,0.995,0.96012,0.99876,1,0.995,0.995,0.33413,0.02724,0.00578,0.19165,0.74167,0.000317,0.000317,0.000317
87,1054.34,0.67599,0.09115,0.121,0.41811,1.09295,0.99876,1,0.995,0.94413,0.99876,1,0.995,0.995,0.36523,0.0275,0.00669,0.18618,0.73949,0.0002972,0.0002972,0.0002972
88,1063.76,0.64094,0.08135,0.11637,0.40899,1.06873,0.99876,1,0.995,0.94736,0.99876,1,0.995,0.995,0.34258,0.03129,0.00786,0.18688,0.73456,0.0002774,0.0002774,0.0002774
89,1073,0.63062,0.08293,0.12373,0.4139,1.06881,0.99876,1,0.995,0.95977,0.99876,1,0.995,0.995,0.33531,0.02967,0.00662,0.20295,0.73457,0.0002576,0.0002576,0.0002576
90,1082.55,0.68644,0.08986,0.10683,0.42431,1.09412,0.99875,1,0.995,0.94536,0.99875,1,0.995,0.995,0.36053,0.02897,0.00579,0.20148,0.73608,0.0002378,0.0002378,0.0002378
91,1105.18,0.38074,0.05134,0.02415,0.24767,0.9626,0.99873,1,0.995,0.91963,0.99873,1,0.995,0.995,0.453,0.02884,0.00829,0.21599,0.76193,0.000218,0.000218,0.000218
92,1114.22,0.36868,0.04699,0.01645,0.20437,0.9491,0.99872,1,0.995,0.93065,0.99872,1,0.995,0.995,0.37366,0.02817,0.0085,0.20086,0.73582,0.0001982,0.0001982,0.0001982
93,1122.95,0.36713,0.04834,0.01462,0.19893,0.93746,0.99871,1,0.995,0.95528,0.99871,1,0.995,0.995,0.32505,0.0294,0.00801,0.19212,0.72929,0.0001784,0.0001784,0.0001784
94,1132.82,0.37976,0.04138,0.01772,0.19756,0.93489,0.99873,1,0.995,0.93054,0.99873,1,0.995,0.995,0.3968,0.02774,0.0084,0.19718,0.74326,0.0001586,0.0001586,0.0001586
95,1145.7,0.38241,0.03683,0.01373,0.19929,0.94282,0.99872,1,0.995,0.95601,0.99872,1,0.995,0.995,0.31478,0.02684,0.009,0.19377,0.72357,0.0001388,0.0001388,0.0001388
96,1157.11,0.38477,0.03602,0.01505,0.20057,0.94124,0.99875,1,0.995,0.93115,0.99875,1,0.995,0.995,0.45183,0.02311,0.00847,0.21012,0.75691,0.000119,0.000119,0.000119
97,1166.69,0.36849,0.03972,0.01193,0.18974,0.95349,0.99875,1,0.995,0.95904,0.99875,1,0.995,0.995,0.31155,0.02627,0.00927,0.18617,0.72493,9.92e-05,9.92e-05,9.92e-05
98,1176.48,0.34357,0.03891,0.01147,0.1854,0.92973,0.99878,1,0.995,0.94495,0.99878,1,0.995,0.995,0.38449,0.02485,0.00954,0.19361,0.74009,7.94e-05,7.94e-05,7.94e-05
99,1186.11,0.36538,0.03469,0.01223,0.18663,0.9472,0.99877,1,0.995,0.95096,0.99877,1,0.995,0.995,0.33624,0.02461,0.00916,0.17473,0.72809,5.96e-05,5.96e-05,5.96e-05
100,1197.1,0.34288,0.03637,0.01477,0.18517,0.92752,0.99878,1,0.995,0.95105,0.99878,1,0.995,0.995,0.32099,0.02338,0.00846,0.17147,0.72444,3.98e-05,3.98e-05,3.98e-05
